2026-04-04 18:11:03 INFO __main__: ============================================================
2026-04-04 18:11:03 INFO __main__: Stage 1: Loading accepted pairs
2026-04-04 18:11:03 INFO __main__: ============================================================
2026-04-04 18:11:03 INFO __main__: Loaded 77 accepted pairs from data/processed/accepted_pairs.json
2026-04-04 18:11:03 INFO __main__: Stage 1 complete in 0.0s
2026-04-04 18:11:03 INFO __main__: ============================================================
2026-04-04 18:11:03 INFO __main__: Stage 2: Fetching raw trades
2026-04-04 18:11:03 INFO __main__: ============================================================
2026-04-04 18:11:10 INFO src.data.trade_fetcher: Processed 10/77 pairs
2026-04-04 18:11:16 INFO src.data.trade_fetcher: Processed 20/77 pairs
2026-04-04 18:11:29 INFO src.data.trade_fetcher: Processed 30/77 pairs
2026-04-04 18:11:50 INFO src.data.trade_fetcher: Processed 40/77 pairs
2026-04-04 18:12:06 INFO src.data.trade_fetcher: Processed 50/77 pairs
2026-04-04 18:12:13 INFO src.data.trade_fetcher: Processed 60/77 pairs
2026-04-04 18:12:32 INFO src.data.trade_fetcher: Processed 70/77 pairs
2026-04-04 18:12:38 INFO src.data.trade_fetcher: Trade fetch complete. Stats: {'kalshi_fetched': 74, 'kalshi_cached': 0, 'kalshi_empty': 3, 'polymarket_fetched': 77, 'polymarket_cached': 0, 'polymarket_empty': 0}
2026-04-04 18:12:38 INFO __main__: Trade fetch stats: {
  "kalshi_fetched": 74,
  "kalshi_cached": 0,
  "kalshi_empty": 3,
  "polymarket_fetched": 77,
  "polymarket_cached": 0,
  "polymarket_empty": 0
}
2026-04-04 18:12:38 INFO __main__: Stage 2 complete in 95.0s
2026-04-04 18:12:38 INFO __main__: ============================================================
2026-04-04 18:12:38 INFO __main__: Stage 3: Reconstructing candles from raw trades
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 168 candles from 2311 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 63 candles from 248 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 41 candles from 133 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 20 candles from 23 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 191 candles from 19607 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 191 candles from 5647 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 55 candles from 206 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 139 candles from 763 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 116 candles from 513 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 25 candles from 97 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 25 candles from 158 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 12 candles from 161 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 7 candles from 13 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 7 candles from 12 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 9 candles from 19 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 20 candles from 41 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 66 candles from 1150 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 76 candles from 1950 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 75 candles from 1194 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 73 candles from 715 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 7 candles from 14 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 118 candles from 942 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 104 candles from 800 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 61 candles from 191 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 48 candles from 169 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 184 candles from 1892 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 151 candles from 922 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 103 candles from 384 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 57 candles from 110 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 1 candles from 1 trades (bar_seconds=14400)
